"AFRICAAM201F","H&S"
"AFRICAAM205K","H&S"
"AFRICAAM211","H&S"
"AFRICAAM218","H&S"
"AFRICAAM219","H&S"
"AFRICAAM226","H&S"
"AFRICAAM233A","H&S"
"AFRICAAM236","H&S"
"AFRICAAM241","H&S"
"AFRICAAM241A","H&S"
"AFRICAAM245","H&S"
"AFRICAAM250J","H&S"
"AFRICAAM252C","H&S"
"AFRICAAM255","H&S"
"AFRICAAM258","H&S"
"AFRICAAM261E","H&S"
"AFRICAAM262C","H&S"
"AFRICAAM262D","H&S"
"AFRICAAM267E","H&S"
"AFRICAAM286","H&S"
"AFRICAST58","H&S"
"AFRICAST109","H&S"
"AFRICAST111","H&S"
"AFRICAST112","H&S"
"AFRICAST113V","H&S"
"AFRICAST114N","H&S"
"AFRICAST119","H&S"
"AFRICAST122F","H&S"
"AFRICAST127","H&S"
"AFRICAST132","H&S"
"AFRICAST133B","H&S"
"AFRICAST135","H&S"
"AFRICAST138","H&S"
"AFRICAST141A","H&S"
"AFRICAST142","H&S"
"AFRICAST151","H&S"
"AFRICAST195","H&S"
"AFRICAST199","H&S"
"AFRICAST209","H&S"
"AFRICAST211","H&S"
"AFRICAST212","H&S"
"AFRICAST219","H&S"
"AFRICAST224","H&S"
"AFRICAST235","H&S"
"AFRICAST238","H&S"
"AFRICAST242","H&S"
"AFRICAST249","H&S"
"AFRICAST299","H&S"
"AFRICAST300","H&S"
"AFRICAST302","H&S"
"AFRICAST801","H&S"
"AMELANG15T","H&S"
"AMELANG16","H&S"
"AMELANG28A","H&S"
"AMELANG51A","H&S"
"AMELANG70A","H&S"
"AMELANG70B","H&S"
"AMELANG71A","H&S"
"AMELANG71B","H&S"
"AMELANG84A","H&S"
"AMELANG84B","H&S"
"AMELANG99","H&S"
"AMELANG100A","H&S"
"AMELANG100B","H&S"
"AMELANG100C","H&S"
"AMELANG101A","H&S"
"AMELANG101B","H&S"
"AMELANG101C","H&S"
"AMELANG103A","H&S"
"AMELANG103B","H&S"
"AMELANG103C","H&S"
"AMELANG106A","H&S"
"AMELANG106B","H&S"
"AMELANG106C","H&S"
"AMELANG107A","H&S"
"AMELANG107B","H&S"
"AMELANG107C","H&S"
"AMELANG108A","H&S"
"AMELANG108B","H&S"
"AMELANG108C","H&S"
"AMELANG110A","H&S"
"AMELANG114A","H&S"
"AMELANG114B","H&S"
"AMELANG115A","H&S"
"AMELANG115B","H&S"
"AMELANG115C","H&S"
"AMELANG126","H&S"
"AMELANG128A","H&S"
"AMELANG128B","H&S"
"AMELANG128C","H&S"
"AMELANG129A","H&S"
"AMELANG129B","H&S"
"AMELANG129C","H&S"
"AMELANG130A","H&S"
"AMELANG131A","H&S"
"AMELANG131B","H&S"
"AMELANG133B","H&S"
"AMELANG133C","H&S"
"AMELANG134A","H&S"
"AMELANG134B","H&S"
"AMELANG134C","H&S"
"AMELANG135A","H&S"
"AMELANG135B","H&S"
"AMELANG135C","H&S"
"AMELANG136A","H&S"
"AMELANG136B","H&S"
"AMELANG136C","H&S"
"AMELANG137A","H&S"
"AMELANG137B","H&S"
"AMELANG137C","H&S"
"AMELANG140A","H&S"
"AMELANG140B","H&S"
"AMELANG140C","H&S"
"AMELANG141A","H&S"
"AMELANG141B","H&S"
"AMELANG141C","H&S"
"AMELANG142A","H&S"
"AMELANG142B","H&S"
"AMELANG142C","H&S"
"AMELANG144","H&S"
"AMELANG144A","H&S"
"AMELANG144B","H&S"
"AMELANG144C","H&S"
"AMELANG145A","H&S"
"AMELANG145B","H&S"
"AMELANG145C","H&S"
"AMELANG146A","H&S"
"AMELANG146B","H&S"
"AMELANG146C","H&S"
"AMELANG153","H&S"
"AMELANG153A","H&S"
"AMELANG153B","H&S"
"AMELANG153C","H&S"
"AMELANG154A","H&S"
"AMELANG154B","H&S"
"AMELANG154C","H&S"
"AMELANG156A","H&S"
"AMELANG156B","H&S"
"AMELANG156C","H&S"
"AMELANG157A","H&S"
"AMELANG157B","H&S"
"AMELANG157C","H&S"
"AMELANG170A","H&S"
"AMELANG170B","H&S"
"AMELANG170C","H&S"
"AMELANG171","H&S"
"AMELANG176","H&S"
"AMELANG177","H&S"
"AMELANG180A","H&S"
"AMELANG180B","H&S"
"AMELANG182A","H&S"
"AMELANG182B","H&S"
"AMELANG182C","H&S"
"AMELANG184A","H&S"
"AMELANG184B","H&S"
"AMELANG184C","H&S"
"AMELANG185A","H&S"
"AMELANG185B","H&S"
"AMELANG185C","H&S"
"AMELANG186A","H&S"
"AMELANG186B","H&S"
"AMELANG186C","H&S"
"AMELANG187A","H&S"
"AMELANG187B","H&S"
"AMELANG187C","H&S"
"AMELANG188A","H&S"
"AMELANG188B","H&S"
"AMELANG188C","H&S"
"AMELANG190A","H&S"
"AMELANG190B","H&S"
"AMELANG190C","H&S"
