"coursename","strm","enrollment"
"LINGUIST146","1022","57"
"LINGUIST199","1022","2"
"LINGUIST201","1022","8"
"LINGUIST206","1022","3"
"LINGUIST208A","1022","3"
"LINGUIST233","1022","4"
"LINGUIST232A","1022","13"
"LINGUIST240","1022","1"
"LINGUIST250","1022","9"
"LINGUIST255A","1022","9"
"LINGUIST260A","1022","7"
"LINGUIST286","1022","4"
"LINGUIST394","1022","6"
"LINGUIST397","1022","14"
"LINGUIST398","1022","14"
"LINGUIST399","1022","3"
"LINGUIST801","1022","1"
"LINGUIST802","1022","6"
"LINGEFS690B","1022","39"
"LINGEFS691","1022","28"
"LINGEFS692","1022","20"
"LINGEFS693A","1022","64"
"LINGEFS693B","1022","33"
"LINGEFS695A","1022","44"
"LINGEFS698A","1022","53"
"LINGEFS698B","1022","19"
"MUSIC11N","1022","15"
"MUSIC12A","1022","21"
"MUSIC12B","1022","14"
"MUSIC12C","1022","10"
"MUSIC16N","1022","15"
"MUSIC16Q","1022","16"
"MUSIC19","1022","47"
"MUSIC20A","1022","38"
"MUSIC21","1022","30"
"MUSIC23","1022","7"
"MUSIC40","1022","24"
"MUSIC65A","1022","40"
"MUSIC65B","1022","15"
"MUSIC65C","1022","8"
"MUSIC72A","1022","13"
"MUSIC72B","1022","10"
"MUSIC72D","1022","5"
"MUSIC73","1022","9"
"MUSIC74C","1022","30"
"MUSIC76","1022","1"
"MUSIC121","1022","18"
"MUSIC122A","1022","8"
"MUSIC125","1022","3"
"MUSIC144","1022","15"
"MUSIC150","1022","28"
"MUSIC157","1022","12"
"MUSIC159","1022","3"
"MUSIC160","1022","58"
"MUSIC161A","1022","26"
"MUSIC161B","1022","15"
"MUSIC162","1022","10"
"MUSIC163","1022","3"
"MUSIC165","1022","21"
"MUSIC167","1022","42"
"MUSIC169","1022","8"
"MUSIC170","1022","3"
"MUSIC171","1022","83"
"MUSIC172A","1022","27"
"MUSIC172B","1022","5"
"MUSIC172C","1022","3"
"MUSIC172D","1022","4"
"MUSIC173","1022","28"
"MUSIC174A","1022","22"
"MUSIC174B","1022","2"
"MUSIC174C","1022","10"
"MUSIC174D","1022","1"
"MUSIC174E","1022","2"
"MUSIC174F","1022","4"
"MUSIC174G","1022","2"
"MUSIC175A","1022","11"
"MUSIC175B","1022","2"
"MUSIC175C","1022","4"
"MUSIC175E","1022","1"
"MUSIC175F","1022","3"
"MUSIC176A","1022","1"
"MUSIC176B","1022","1"
"MUSIC176C","1022","1"
"MUSIC176D","1022","1"
"MUSIC177","1022","1"
"MUSIC181A","1022","4"
"MUSIC192A","1022","25"
"MUSIC192C","1022","9"
"MUSIC198","1022","3"
"MUSIC199","1022","21"
"MUSIC200","1022","7"
"MUSIC220A","1022","24"
"MUSIC220D","1022","12"
"MUSIC250A","1022","32"
"MUSIC272A","1022","22"
"MUSIC272B","1022","2"
"MUSIC272D","1022","3"
"MUSIC273","1022","12"
"MUSIC274A","1022","19"
"MUSIC274B","1022","3"
"MUSIC274C","1022","8"
"MUSIC274D","1022","2"
"MUSIC274F","1022","1"
"MUSIC274G","1022","2"
"MUSIC275A","1022","6"
"MUSIC275B","1022","2"
"MUSIC275D","1022","2"
"MUSIC275F","1022","5"
"MUSIC276B","1022","1"
"MUSIC280","1022","6"
"MUSIC300B","1022","5"
"MUSIC301B","1022","7"
"MUSIC302","1022","1"
"MUSIC310","1022","4"
"MUSIC319","1022","1"
"MUSIC320","1022","14"
"MUSIC321","1022","1"
"MUSIC323","1022","12"
"MUSIC325","1022","10"
"MUSIC341","1022","1"
"MUSIC399","1022","1"
"MUSIC423","1022","7"
"MUSIC801","1022","4"
"MUSIC802","1022","15"
"PORTLANG1","1022","6"
"PORTLANG101A","1022","27"
"PORTLANG2A","1022","13"
"PORTLANG11A","1022","3"
"PORTLANG12A","1022","1"
"PORTLANG99","1022","1"
"PHIL10","1022","73"
"PHIL12N","1022","18"
"PHIL15N","1022","18"
"PHIL30","1022","78"
"PHIL57","1022","23"
"PHIL74Q","1022","8"
"PHIL80","1022","65"
"PHIL100","1022","24"
"PHIL132","1022","78"
"PHIL234","1022","25"
"PHIL159","1022","49"
"PHIL264","1022","20"
"PHIL181","1022","20"
"PHIL194A","1022","14"
"PHIL195A","1022","2"
"PHIL196","1022","1"
"PHIL197","1022","4"
"PHIL198","1022","6"
"PHIL239","1022","6"
"PHIL240","1022","6"
"PHIL270","1022","8"
"PHIL382","1022","15"
"PHIL450","1022","3"
"PHIL802","1022","9"
"PHYSICS11N","1022","13"
"PHYSICS15","1022","67"
"PHYSICS19","1022","20"
"PHYSICS21","1022","147"
"PHYSICS22","1022","117"
"PHYSICS51","1022","399"
"PHYSICS52","1022","149"
"PHYSICS50","1022","60"
"PHYSICS59","1022","18"
"PHYSICS61","1022","69"
"PHYSICS61N","1022","12"
"PHYSICS70","1022","41"
"PHYSICS81Q","1022","5"
"PHYSICS105","1022","28"
"PHYSICS130","1022","27"
"PHYSICS160","1022","7"
"PHYSICS170","1022","19"
"PHYSICS190","1022","3"
"PHYSICS204","1022","5"
"PHYSICS205","1022","2"
"PHYSICS210","1022","44"
"PHYSICS216","1022","24"
"PHYSICS230","1022","51"
"PHYSICS290","1022","18"
"PHYSICS293","1022","2"
"PHYSICS294","1022","11"
"PHYSICS330","1022","36"
"PHYSICS351","1022","25"
"PHYSICS360","1022","6"
"PHYSICS450","1022","7"
"PHYSICS490","1022","6"
"PHYSICS491","1022","92"
"PHYSICS491X","1022","2"
"PHYSICS801","1022","4"
"PHYSICS802","1022","17"
"POLISCI20","1022","33"
"POLISCI25","1022","70"
"POLISCI35","1022","407"
"POLISCI200A","1022","38"
"POLISCI225","1022","55"
"POLISCI126","1022","26"
"POLISCI149","1022","8"
"CLASSGEN251","1022","31"
"POLISCI160","1022","52"
"POLISCI198","1022","14"
"POLISCI199A","1022","28"
"POLISCI199R","1022","29"
"POLISCI209","1022","1"
"POLISCI223","1022","18"
"POLISCI229","1022","14"
"POLISCI243A","1022","8"
"POLISCI249","1022","11"
"POLISCI255J","1022","11"
"POLISCI269","1022","5"
"POLISCI292A","1022","16"
"POLISCI292D","1022","3"
"POLISCI298","1022","9"
"POLISCI300","1022","9"
"POLISCI311","1022","9"
"POLISCI313A","1022","7"
"POLISCI340","1022","3"
"POLISCI343A","1022","3"
"POLISCI801","1022","5"
"POLISCI802","1022","19"
"PSYCH1","1022","218"
"STATS60","1022","236"
"PSYCH12Q","1022","5"
"PSYCH30","1022","138"
"PSYCH60","1022","131"
"PSYCH60A","1022","75"
"PSYCH131","1022","51"
"PSYCH141","1022","57"
"PSYCH147","1022","13"
"PSYCH174","1022","41"
"PSYCH176","1022","48"
"PSYCH177","1022","4"
"PSYCH179","1022","35"
"PSYCH194","1022","8"
"PSYCH195","1022","75"
"PSYCH196","1022","11"
"PSYCH197","1022","22"
"PSYCH205","1022","35"
"PSYCH207","1022","15"
"PSYCH212","1022","50"
"PSYCH219","1022","6"
"PSYCH222","1022","7"
"PSYCH252","1022","46"
"PSYCH255","1022","1"
"PSYCH257","1022","2"
"PSYCH258","1022","11"
"PSYCH269","1022","9"
"PSYCH275","1022","32"
"PSYCH280","1022","10"
"PSYCH281","1022","7"
"PSYCH297","1022","11"
"PSYCH801","1022","3"
"PSYCH802","1022","16"
"MTL175","1022","1"
"MTL361","1022","17"
"ENGLISH396L","1022","19"
"MTL398","1022","4"
"MTL802","1022","11"
"BIOPHYS250","1022","12"
"BIOPHYS300","1022","16"
"BIOPHYS801","1022","1"
"BIOPHYS802","1022","7"
"ETHICSOC200A","1022","5"
"SOC1","1022","98"
"SOC46N","1022","21"
"SOC214","1022","111"
"SOC117A","1022","101"
"SOC220","1022","137"
"SOC230","1022","64"
"SOC138","1022","32"
"SOC147A","1022","38"
"SOC260","1022","108"
"SOC281A","1022","35"
"SOC190","1022","12"
"SOC191","1022","1"
"SOC192","1022","4"
"SOC193","1022","26"
"SOC196","1022","2"
"SOC200","1022","18"
"SOC305","1022","7"
"SOC321A","1022","9"
"SOC360","1022","12"
"SOC363A","1022","24"
"SOC370A","1022","14"
"SOC390","1022","14"
"SOC391","1022","10"
"SOC392","1022","8"
"SOC393","1022","3"
"SOC394","1022","1"
"SOC802","1022","22"
"STS101Q","1022","12"
"HISTORY206P","1022","23"
"STS190A","1022","1"
"STS299","1022","3"
"DRAMA3","1022","5"
"DRAMA13N","1022","14"
"DRAMA15N","1022","9"
"DRAMA20","1022","35"
"DRAMA28","1022","12"
"DRAMA29","1022","9"
"DRAMA30","1022","5"
"DRAMA34","1022","5"
"DRAMA39A","1022","4"
"DRAMA39B","1022","5"
"DRAMA39C","1022","4"
"DRAMA65","1022","53"
"DRAMA103","1022","20"
"DRAMA120A","1022","41"
"DRAMA121C","1022","13"
"DRAMA121V","1022","11"
"DRAMA134","1022","3"
"DRAMA140","1022","2"
"DRAMA163","1022","48"
"DRAMA166","1022","6"
"DRAMA170A","1022","8"
"DRAMA190","1022","3"
"DRAMA191","1022","3"
"DRAMA200","1022","3"
"DRAMA213","1022","5"
"DRAMA231","1022","1"
"DRAMA300","1022","7"
"DRAMA309B","1022","3"
"DRAMA320","1022","3"
"DRAMA370","1022","3"
"DRAMA373","1022","2"
"DRAMA374","1022","1"
"DRAMA390","1022","1"
"DRAMA399","1022","6"
"DRAMA802","1022","3"
"DANCE23","1022","5"
"DANCE27","1022","2"
"DANCE38","1022","29"
"DANCE40","1022","18"
"DANCE42","1022","78"
"DANCE44","1022","32"
"DANCE46","1022","150"
"DANCE48","1022","44"
"DANCE57","1022","5"
"DANCE106","1022","20"
"DANCE140","1022","20"
"DANCE144","1022","46"
"DANCE145","1022","18"
"DANCE148","1022","34"
"DANCE165","1022","13"
"DANCE169","1022","10"
"DANCE190","1022","3"
"DANCE290","1022","1"
"STATS110","1022","83"
"STATS116","1022","112"
"STATS202","1022","65"
"STATS300A","1022","23"
"STATS305","1022","35"
"STATS310A","1022","71"
"STATS319","1022","2"
"STATS362","1022","44"
"STATS390","1022","15"
"STATS399","1022","30"
"STATS801","1022","1"
"STATS802","1022","6"
"AFRICAAM108A","1022","30"
"COMPLIT24Q","1022","13"
"COMPLIT115Q","1022","15"
"COMPLIT194","1022","5"
"COMPLIT195A","1022","7"
"COMPLIT315","1022","12"
"COMPLIT395","1022","6"
"COMPLIT395A","1022","6"
"COMPLIT399","1022","2"
"COMPLIT802","1022","8"
"CSRE200X","1022","26"
"CSRE200Y","1022","1"
"LAW201","1022","183"
"LAW205","1022","181"
"LAW207","1022","182"
"LAW219","1022","184"
"LAW223","1022","178"
"LAW227","1022","16"
"LAW233","1022","83"
"LAW238","1022","37"
"LAW242","1022","146"
"LAW253","1022","125"
"LAW255","1022","127"
"LAW262","1022","33"
"LAW285","1022","39"
"LAW290","1022","162"
"LAW300","1022","22"
"LAW304","1022","51"
"LAW313","1022","47"
"LAW324","1022","104"
"LAW338","1022","29"
"LAW339","1022","63"
"LAW342","1022","29"
"LAW344","1022","26"
"LAW352","1022","21"
"LAW355","1022","124"
"LAW400","1022","66"
"LAW403","1022","4"
"LAW404","1022","26"
"LAW405","1022","22"
"LAW406","1022","3"
"LAW424","1022","40"
"LAW427","1022","45"
"LAW429","1022","35"
"LAW430","1022","76"
"LAW434","1022","19"
"LAW437","1022","23"
"LAW461","1022","6"
"LAW472","1022","2"
"LAW473","1022","6"
"LAW474","1022","3"
"LAW475","1022","2"
"LAW561","1022","21"
"LAW579","1022","24"
"LAW582","1022","23"
"LAW588","1022","10"
"LAW602","1022","8"
"LAW607","1022","7"
"LAW615","1022","75"
"LAW620","1022","12"
"LAW622","1022","21"
"LAW627","1022","41"
"LAW638","1022","29"
"LAW646","1022","12"
"LAW654","1022","7"
"LAW660","1022","2"
"LAW664","1022","43"
"LAW670","1022","64"
"LAW673","1022","21"
"LAW702","1022","22"
"LAW802","1022","33"
"BIOMEDIN200","1022","7"
"BIOMEDIN201","1022","5"
"BIOMEDIN209","1022","89"
"BIOMEDIN210A","1022","114"
"BIOMEDIN299","1022","19"
"BIOMEDIN301","1022","1"
"BIOMEDIN802","1022","4"
"CBIO241","1022","20"
"CBIO280","1022","26"
"CBIO299","1022","35"
"CBIO802","1022","15"
"SBIO211","1022","86"
"SBIO228","1022","8"
"SBIO241","1022","53"
"SBIO299","1022","1"
"SBIO399","1022","6"
"SBIO801","1022","1"
"BIOC211","1022","5"
"BIOC215","1022","22"
"BIOC218","1022","34"
"BIOC241","1022","29"
"BIOC399","1022","36"
"BIOC459","1022","3"
"BIOC802","1022","8"
"DBIO206","1022","89"
"DBIO399","1022","40"
"DBIO802","1022","10"
"GENE199","1022","3"
"GENE215","1022","11"
"GENE260","1022","4"
"GENE299","1022","2"
"GENE399","1022","34"
"GENE801","1022","2"
"GENE802","1022","7"
"COMPMED83Q","1022","9"
"COMPMED90N","1022","16"
"COMPMED199","1022","1"
"COMPMED299","1022","1"
"COMPMED399","1022","1"
"MI25N","1022","20"
"MI199","1022","5"
"MI201","1022","97"
"MI206","1022","1"
"MI209","1022","22"
"MI299","1022","2"
"MI399","1022","13"
"MI801","1022","4"
"MI802","1022","5"
"MPHA201","1022","115"
"MPHA270","1022","10"
"MPHA299","1022","2"
"MPHA399","1022","30"
"MPHA801","1022","3"
"MPHA802","1022","2"
"MCP199","1022","1"
"MCP202","1022","92"
"MCP203","1022","90"
"MCP204","1022","92"
"MCP215","1022","2"
"MCP299","1022","2"
"MCP399","1022","23"
"MCP802","1022","2"
"NBIO199","1022","2"
"NBIO230","1022","1"
"NBIO299","1022","3"
"NBIO300","1022","34"
"NBIO399","1022","8"
"NBIO801","1022","5"
"NBIO802","1022","2"
"INDE217","1022","2"
"INDE303E","1022","1"
"INDE370","1022","29"
"ANES75Q","1022","6"
"ANES199","1022","1"
"ANES200","1022","7"
"ANES280","1022","1"
"ANES300A","1022","16"
"ANES300C","1022","5"
"ANES300E","1022","1"
"ANES301A","1022","1"
"ANES302A","1022","1"
"ANES304A","1022","4"
"ANES307A","1022","1"
"ANES340B","1022","3"
"ANES398A","1022","2"
"DERM280","1022","1"
"DERM300A","1022","16"
"DERM398A","1022","3"
"DERM399","1022","2"
"MED88Q","1022","12"
"MED89Q","1022","10"
"MED93Q","1022","17"
"MED199","1022","3"
"MED201","1022","88"
"MED228","1022","28"
"MED237","1022","30"
"MED248","1022","36"
"MED270","1022","10"
"MED280","1022","2"
"MED282","1022","30"
"MED295","1022","2"
"MED299","1022","8"
"MED299X","1022","3"
"MED300A","1022","54"
"MED301A","1022","34"
"MED302A","1022","1"
"MED302B","1022","2"
"MED302W","1022","1"
"MED303A","1022","5"
"MED303B","1022","11"
"MED303C","1022","2"
"MED303E","1022","1"
"MED303W","1022","1"
"MED304A","1022","2"
"MED305A","1022","2"
"MED308A","1022","1"
"MED308C","1022","2"
"MED310A","1022","8"
"MED311D","1022","1"
"MED312C","1022","2"
"MED314A","1022","3"
"MED314W","1022","1"
"MED317C","1022","2"
"MED322A","1022","6"
"MED322W","1022","1"
"MED333A","1022","3"
"MED334C","1022","1"
"MED336E","1022","1"
"MED337A","1022","2"
"MED338A","1022","3"
"MED339B","1022","1"
"MED342A","1022","2"
"MED343B","1022","1"
"MED344E","1022","2"
"MED345E","1022","1"
"MED345W","1022","1"
"MED398A","1022","2"
"MED398W","1022","2"
"MED399","1022","4"
"GYOB300A","1022","11"
"GYOB300C","1022","8"
"GYOB300D","1022","10"
"GYOB398W","1022","1"
"PATH213","1022","5"
"PATH230B","1022","80"
"PATH300A","1022","1"
"PATH300B","1022","1"
"PATH302A","1022","2"
"PATH398A","1022","5"
"PEDS82Q","1022","8"
"PEDS199","1022","1"
"PEDS281","1022","19"
"PEDS299","1022","9"
"PEDS300A","1022","47"
"PEDS303A","1022","2"
"PEDS304A","1022","1"
"PEDS305A","1022","2"
"PEDS311E","1022","1"
"PEDS312W","1022","2"
"PEDS313A","1022","2"
"PEDS314A","1022","1"
"PEDS338A","1022","3"
"PEDS338W","1022","1"
"PEDS340D","1022","1"
"PEDS340W","1022","1"
"PEDS399","1022","2"
"PSYC75Q","1022","4"
"PSYC80Q","1022","14"
"PSYC199","1022","4"
"PSYC220D","1022","1"
"PSYC299","1022","2"
"PSYC300A","1022","36"
"PSYC326A","1022","2"
"PSYC327E","1022","3"
"PSYC398A","1022","3"
"PSYC399","1022","24"
"RAD301A","1022","28"
"RAD398A","1022","1"
"RAD398W","1022","1"
"RAD399","1022","1"
"SURG201","1022","87"
"SURG219","1022","86"
"SURG220","1022","15"
"SURG280","1022","1"
"SURG300A","1022","52"
"SURG307A","1022","2"
"SURG309A","1022","1"
"SURG313A","1022","9"
"SURG313D","1022","1"
"SURG313W","1022","6"
"SURG336A","1022","1"
"SURG338A","1022","2"
"SURG338W","1022","1"
"SURG340A","1022","1"
"SURG398A","1022","1"
"SURG399","1022","4"
"RADO300A","1022","8"
"RADO398W","1022","1"
"RADO399","1022","1"
"HRP225","1022","15"
"HRP238","1022","17"
"HRP260A","1022","7"
"HRP266","1022","12"
"HRP283","1022","3"
"HRP290","1022","7"
"HRP299","1022","4"
"HRP399","1022","22"
"HRP801","1022","11"
"HRP802","1022","7"
"OPHT300A","1022","6"
"OPHT300E","1022","4"
"OPHT398A","1022","1"
"OPHT399","1022","2"
"NENS205","1022","17"
"NENS300A","1022","5"
"NENS300B","1022","2"
"NENS300C","1022","3"
"NENS307A","1022","1"
"NENS307W","1022","1"
"NENS310A","1022","5"
"NENS399","1022","2"
"NENS802","1022","2"
"NSUR299","1022","1"
"NSUR399","1022","7"
"UROL308A","1022","2"
"UROL308C","1022","4"
"UROL399","1022","2"
"FRES70Q","1022","10"
"FRES304A","1022","2"
"FRES306B","1022","1"
"FRES306C","1022","4"
"FRES306W","1022","2"
"FRES399","1022","1"
"IMMUNOL290","1022","5"
"IMMUNOL299","1022","7"
"IMMUNOL300","1022","25"
"IMMUNOL311","1022","20"
"IMMUNOL311A","1022","6"
"IMMUNOL802","1022","10"
"NEPR299","1022","3"
"NEPR399","1022","21"
"NEPR801","1022","2"
"NEPR802","1022","1"
"EARTHSYS103","1022","44"
"CEE164","1022","17"
"EARTHSYS169","1022","6"
"EARTHSYS210","1022","11"
"EARTHSYS250","1022","4"
"EARTHSYS260","1022","9"
"EARTHSYS269","1022","5"
"EARTHSYS299","1022","2"
"GEOPHYS3","1022","18"
"GEOPHYS5Q","1022","8"
"GEOPHYS102","1022","30"
"GEOPHYS111","1022","11"
"GEOPHYS112","1022","17"
"GEOPHYS120","1022","10"
"GEOPHYS150","1022","4"
"GEOPHYS184","1022","13"
"GEOPHYS385A","1022","8"
"GEOPHYS385D","1022","3"
"GEOPHYS385E","1022","3"
"GEOPHYS385K","1022","5"
"GEOPHYS385L","1022","6"
"GEOPHYS385S","1022","1"
"GEOPHYS385Z","1022","4"
"GEOPHYS197","1022","2"
"GEOPHYS210","1022","7"
"GEOPHYS250","1022","3"
"GEOPHYS399","1022","5"
"GEOPHYS400","1022","53"
"GEOPHYS801","1022","2"
"GEOPHYS802","1022","4"
"GES1","1022","62"
"GES7A","1022","11"
"GES42N","1022","17"
"GES50Q","1022","12"
"GES54Q","1022","12"
"GES57Q","1022","12"
"GES80","1022","11"
"GEOPHYS215","1022","9"
"EARTHSYS110","1022","27"
"GES163","1022","5"
"GES171","1022","11"
"GES175","1022","28"
"GES195","1022","22"
"GES199","1022","1"
"GES200","1022","14"
"GES201","1022","4"
"GES205","1022","9"
"CEE260A","1022","14"
"PETENG246","1022","26"
"GES251","1022","20"
"GES255","1022","1"
"GES258","1022","10"
"GES264","1022","1"
"GES313","1022","2"
"GES314A","1022","3"
"GES314P","1022","2"
"GES322A","1022","10"
"GES332A","1022","9"
"GES339","1022","2"
"GES342A","1022","1"
"GES360","1022","1"
"GES369","1022","1"
"GES385","1022","1"
"GES389","1022","1"
"GES413","1022","5"
"GES419","1022","2"
"GES422","1022","8"
"GES439","1022","9"
"GES440","1022","3"
"GES457","1022","12"
"GES458","1022","5"
"GES460","1022","6"
"GES463","1022","2"
"GES469","1022","18"
"GES477","1022","1"
"GES479","1022","2"
"GES480","1022","2"
"GES489","1022","1"
"GES801","1022","5"
"GES802","1022","8"
"PETENG120","1022","12"
"PETENG130","1022","13"
"PETENG193","1022","1"
"PETENG251","1022","16"
"PETENG284","1022","26"
"PETENG285A","1022","1"
"PETENG285D","1022","1"
"PETENG285F","1022","3"
"PETENG360","1022","11"
"PETENG361","1022","13"
"PETENG362","1022","1"
"PETENG363","1022","19"
"PETENG365","1022","3"
"PETENG802","1022","3"
"FEMST104","1022","12"
"FEMST105","1022","1"
"FEMST195","1022","1"
"URBANST110","1022","83"
"URBANST186","1022","14"
"URBANST195","1022","4"
"URBANST197","1022","31"
"URBANST198","1022","11"
"URBANST199","1022","6"
"SLE91","1022","94"
"GSBGEN350","1022","1"
"OSPKYOCT103A","1022","15"
"OSPKYOCT113","1022","7"
"OSPKYOCT130","1022","4"
"OSPKYOCT160","1022","9"
"OSPKYOCT192","1022","4"
"ANTHSCI288","1022","9"
"IPS202A","1022","16"
"DRAMA129F","1022","3"
"SLE199","1022","24"
"MS&E298","1022","104"
"MS&E349","1022","21"
"BIOSCI10SC","1022","12"
"BIOSCI11SC","1022","13"
"CHEM10SC","1022","12"
"COMM10SC","1022","12"
"ENGLISH10SC","1022","12"
"COMPLIT11SC","1022","12"
"CS10SC","1022","12"
"DRAMA10SC","1022","10"
"ECON10SC","1022","12"
"ECON11SC","1022","12"
"ECON12SC","1022","12"
"GERLIT10SC","1022","12"
"HISTORY10SC","1022","12"
"HISTORY11SC","1022","12"
"HISTORY12SC","1022","12"
"HUMBIO10SC","1022","12"
"IIS10SC","1022","12"
"LINGUIST10SC","1022","12"
"LINGUIST11SC","1022","12"
"MATSCI10SC","1022","11"
"STS11SC","1022","12"
"MUSIC10SC","1022","11"
"PHYSICS10SC","1022","12"
"POLISCI10SC","1022","13"
"POLISCI11SC","1022","12"
"PSYCH10SC","1022","13"
"RELIGST10SC","1022","11"
"RELIGST11SC","1022","11"
"SPANLIT10SC","1022","12"
"CASA15","1022","11"
"STS129","1022","24"
"MATH89Q","1022","9"
"CHEM280","1022","15"
"CHINLIT125","1022","7"
"CHINLIT288","1022","5"
"CHINLIT268","1022","4"
"CHINLIT269","1022","5"
"OSPFLOR56","1022","2"
"OSPMOSC36","1022","3"
"OSPMOSC38","1022","3"
"SOC119S","1022","2"
"COMPLIT153X","1022","1"
"CHINLANG18","1022","9"
"CEE171X","1022","13"
"ITALLIT229F","1022","7"
"ITALLIT236F","1022","23"
"SPANLANG1G","1022","28"
"SPANLANG2G","1022","21"
"IHUM46","1022","373"
"IHUM47","1022","387"
"IHUM48","1022","427"
"IHUM49","1022","266"
"IHUM50","1022","175"
"MATSCI158","1022","12"
"SOC157S","1022","18"
"OSPOXFRD195G","1022","1"
"PHYSICS377","1022","6"
"PHYSICS372","1022","8"
"PHYSICS51N","1022","11"
"AMELANG101A","1022","5"
"AMELANG131","1022","10"
"AMELANG133A","1022","12"
"AMELANG147A","1022","2"
"AMELANG148A","1022","1"
"AMELANG153A","1022","1"
"AMELANG161","1022","8"
"DRAMA164F","1022","28"
"FRENGEN264P","1022","22"
"MGTECON203","1022","102"
"STATS366","1022","40"
"OIT266","1022","141"
"ENGLISH28","1022","16"
"ENGLISH29A","1022","30"
"ENGLISH160N","1022","47"
"ENGLISH165D","1022","73"
"ENGLISH164F","1022","3"
"CLASSGEN208B","1022","8"
"CLASSGEN307","1022","11"
"DANCE60","1022","35"
"DANCE158","1022","15"
"PSYCH12N","1022","13"
"PSYCH15N","1022","18"
"PSYCH18Q","1022","12"
"PSYCH20Q","1022","7"
"PSYCH143","1022","37"
"MUSIC13N","1022","21"
"COMM123N","1022","17"
"ENGLISH269","1022","31"
"ENGLISH310","1022","17"
"ENGLISH369B","1022","18"
"ENGLISH379B","1022","16"
"MGTECON302","1022","52"
"MGTECON396","1022","26"
"MGTECON597","1022","14"
"STRAMGT575","1022","179"
"GES324","1022","11"
"ANTHSCI210","1022","8"
"SPANLIT137","1022","4"
"SPANLIT314","1022","8"
"SPANLIT329","1022","15"
"SPECLANG75A","1022","14"
"SPECLANG151A","1022","10"
"SPECLANG155A","1022","1"
"SPECLANG189A","1022","16"
"LAW668","1022","128"
"URBANST180","1022","12"
"PUBLPOL190","1022","65"
"SOC44N","1022","23"
"SOC129","1022","47"
"SOC373","1022","3"
"SOC388","1022","19"
"GERGEN104Q","1022","14"
"GERGEN239A","1022","2"
"GES182","1022","8"
"CLASSHIS301","1022","8"
"FRENGEN306E","1022","11"
"HUMNTIES170","1022","1"
"PHIL193X","1022","4"
"CSP85","1022","1"
"EDUC424X","1022","11"
"SOC314","1022","19"
"PHIL159X","1022","8"
"PHIL283A","1022","11"
"POLISCI224W","1022","22"
"POLISCI92N","1022","19"
"POLISCI117F","1022","16"
"POLISCI220W","1022","16"
"POLISCI121F","1022","26"
"ANTHSCI216","1022","10"
"ANTHSCI162","1022","71"
"DRAMA188Q","1022","8"
"DRAMA201A","1022","2"
"DRAMA201B","1022","2"
"DRAMA202","1022","1"
"ANTHSCI146","1022","13"
"MUSIC7C","1022","6"
"CASA144","1022","52"
"CASA267","1022","19"
"CASA95C","1022","2"
"CASA291B","1022","1"
"CASA176A","1022","18"
"IMMUNOL230A","1022","2"
"JAPANGEN139","1022","3"
"JAPANGEN181","1022","3"
"CHINLIT371","1022","9"
"LINGUIST74","1022","38"
"LINGUIST239M","1022","12"
"LINGUIST139P","1022","4"
"LINGUIST154","1022","7"
"LINGUIST227B","1022","2"
"RELIGST107B","1022","6"
"RELIGST314","1022","5"
"BIOSCI311","1022","6"
"HISTORY100D","1022","17"
"HISTORY281B","1022","30"
"EDUC402X","1022","5"
"CTL215","1022","8"
"LAW597","1022","23"
"ACCT515","1022","2"
"FINANCE528","1022","7"
"GSBGEN570","1022","10"
"MGTECON556","1022","4"
"MKTG549","1022","11"
"OB540","1022","4"
"OB568","1022","9"
"OB589","1022","6"
"POLECON582","1022","2"
"STRAMGT564","1022","4"
"STRAMGT572","1022","7"
"RELIGST56","1022","14"
"RELIGST324","1022","3"
"EARTHSYS267","1022","28"
"HISTORY149","1022","24"
"ARTHIST80N","1022","5"
"ARTHIST126","1022","20"
"ARTHIST331A","1022","24"
"ARTHIST223","1022","8"
"ENGLISH74N","1022","19"
"HUMNTIES198B","1022","16"
"ATHLETIC97C","1022","20"
"ATHLETIC12V","1022","7"
"ATHLETIC20V","1022","47"
"ATHLETIC108V","1022","8"
"ATHLETIC119V","1022","15"
"ATHLETIC23V","1022","12"
"ATHLETIC139V","1022","15"
"ATHLETIC149V","1022","2"
"ATHLETIC32V","1022","2"
"ATHLETIC154V","1022","23"
"ATHLETIC156C","1022","23"
"ATHLETIC166V","1022","8"
"ATHLETIC42V","1022","6"
"ATHLETIC172V","1022","5"
"ATHLETIC58V","1022","3"
"ATHLETIC61V","1022","9"
"OB111Q","1022","13"
"MATSCI167","1022","3"
"MATSCI178","1022","4"
"MATSCI210","1022","30"
"CS246","1022","30"
"GERGEN268A","1022","15"
"BIOPHYS260","1022","1"
"CEE183","1022","10"
"ME244A","1022","27"
"ME393","1022","20"
"BIOSCI4","1022","23"
"STATS141","1022","79"
"SPANLIT236","1022","7"
"EDUC404X","1022","17"
"ARTHIST488A","1022","9"
"ARTHIST151A","1022","24"
"ARTSTUDI51","1022","16"
"ARTSTUDI177","1022","18"
"LATINAM281A","1022","11"
"LATINAM116","1022","16"
"SYMBSYS291","1022","2"
"CS377B","1022","11"
"MTL399","1022","1"
"MATH201","1022","1"
"NATIVEAM111A","1022","18"
"ATHLETIC3","1022","2"
"ATHLETIC64","1022","151"
"ATHLETIC125","1022","11"
"ATHLETIC15","1022","48"
"ATHLETIC164","1022","13"
