"coursename","strm","enrollment"
"AA297","1002","16"
"AA300","1002","2"
"AA301","1002","32"
"AA801","1002","10"
"AA802","1002","45"
"CHEMENG50Q","1002","12"
"CHEMENG100","1002","19"
"CHEMENG150","1002","10"
"CHEMENG170","1002","16"
"CHEMENG185A","1002","13"
"CHEMENG190","1002","2"
"CHEMENG250","1002","15"
"CHEMENG300","1002","42"
"CHEMENG459","1002","10"
"CHEMENG500A","1002","1"
"CHEMENG501A","1002","1"
"CHEMENG502A","1002","2"
"CHEMENG503A","1002","3"
"CHEMENG505A","1002","3"
"CHEMENG507A","1002","3"
"CHEMENG508A","1002","1"
"CHEMENG509A","1002","1"
"CHEMENG510A","1002","3"
"CHEMENG511A","1002","1"
"CHEMENG600","1002","32"
"CHEMENG699","1002","39"
"CHEMENG801","1002","3"
"CHEMENG802","1002","4"
"CEE61Q","1002","5"
"CEE63","1002","15"
"CEE70","1002","17"
"CEE100","1002","20"
"CEE101C","1002","24"
"CEE101E","1002","10"
"CEE161","1002","9"
"CEE177","1002","7"
"CEE180B","1002","8"
"CEE195","1002","4"
"CEE199","1002","11"
"CEE200A","1002","11"
"CEE201E","1002","5"
"CEE203","1002","25"
"CEE238","1002","1"
"CEE240","1002","35"
"CEE240L","1002","28"
"CEE242","1002","32"
"CEE244A","1002","40"
"CEE254","1002","17"
"CEE258A","1002","40"
"CEE260A","1002","19"
"CEE260B","1002","7"
"CEE262A","1002","19"
"CEE266S","1002","8"
"CEE270","1002","51"
"CEE273","1002","28"
"CEE274A","1002","39"
"CEE278A","1002","22"
"CEE280","1002","36"
"CEE285","1002","34"
"CEE296A","1002","40"
"CEE299","1002","47"
"CEE300","1002","7"
"CEE320A","1002","13"
"CEE362","1002","5"
"CEE363","1002","8"
"CEE370A","1002","3"
"CEE398","1002","1"
"CEE399","1002","9"
"CEE400","1002","41"
"CEE801","1002","6"
"CEE802","1002","29"
"EE33Q","1002","23"
"EE47Q","1002","7"
"EE93Q","1002","7"
"EE100","1002","10"
"EE103","1002","87"
"EE111","1002","78"
"EE113","1002","7"
"EE121","1002","29"
"EE122","1002","23"
"EE141","1002","76"
"EE182","1002","108"
"EE190","1002","4"
"EE191","1002","23"
"EE201A","1002","245"
"EE202","1002","18"
"EE212","1002","113"
"EE214","1002","128"
"EE216","1002","98"
"EE228","1002","29"
"EE231","1002","24"
"EE241","1002","23"
"EE244","1002","40"
"EE246","1002","17"
"EE247","1002","47"
"EE248","1002","10"
"EE249","1002","12"
"EE250","1002","48"
"EE261","1002","138"
"EE262","1002","20"
"EE263","1002","57"
"EE264","1002","49"
"EE268","1002","30"
"EE271","1002","104"
"EE275","1002","79"
"EE278","1002","128"
"EE282","1002","132"
"EE284","1002","229"
"EE290A","1002","1"
"EE290B","1002","1"
"EE293A","1002","13"
"EE310","1002","35"
"EE344","1002","17"
"EE350","1002","23"
"EE359","1002","65"
"EE380","1002","87"
"EE385A","1002","7"
"EE390","1002","119"
"EE391","1002","72"
"EE400","1002","84"
"EE402A","1002","72"
"EE479","1002","20"
"EE801","1002","22"
"EE802","1002","60"
"ENGR1","1002","21"
"ENGR14","1002","81"
"ENGR15","1002","74"
"ENGR25","1002","55"
"ENGR30","1002","37"
"ENGR40","1002","106"
"ENGR60","1002","105"
"ENGR100","1002","1"
"ENGR102E","1002","17"
"ENGR102M","1002","33"
"ENGR102S","1002","4"
"ENGR102W","1002","20"
"ENGR103","1002","62"
"ENGR104","1002","7"
"ENGR105","1002","52"
"ENGR120","1002","1"
"ENGR130","1002","12"
"ENGR140B","1002","12"
"ENGR140C","1002","12"
"ENGR155A","1002","14"
"ENGR199","1002","4"
"ENGR202S","1002","2"
"ENGR202W","1002","5"
"ENGR205","1002","80"
"ENGR211","1002","13"
"ENGR290","1002","3"
"ENGR297A","1002","169"
"ENGR298","1002","16"
"ENGR299","1002","5"
"ENGR616E","1002","9"
"IE100","1002","75"
"IE133","1002","198"
"IE191","1002","1"
"IE203","1002","93"
"IE220","1002","25"
"IE225","1002","65"
"IE235","1002","66"
"IE260","1002","60"
"IE270","1002","98"
"IE273","1002","48"
"IE279","1002","47"
"IE279X","1002","7"
"IE291","1002","16"
"IE292","1002","204"
"IE301","1002","5"
"IE802","1002","6"
"MATSCI100","1002","12"
"MATSCI151","1002","7"
"MATSCI161","1002","3"
"MATSCI171","1002","5"
"MATSCI192","1002","4"
"MATSCI193","1002","8"
"MATSCI200","1002","23"
"MATSCI202","1002","42"
"MATSCI203","1002","43"
"MATSCI220","1002","2"
"MATSCI230","1002","10"
"MATSCI251","1002","24"
"MATSCI255","1002","21"
"MATSCI300","1002","41"
"MATSCI330","1002","14"
"MATSCI348","1002","9"
"MATSCI405","1002","5"
"MATSCI459","1002","6"
"MATSCI801","1002","1"
"MATSCI802","1002","19"
"ME72N","1002","16"
"ME101","1002","56"
"ME102","1002","5"
"ME103","1002","49"
"ME103D","1002","53"
"ME110B","1002","19"
"ME111","1002","72"
"ME116A","1002","35"
"ME121N","1002","19"
"ME123N","1002","9"
"ME130","1002","24"
"ME131A","1002","59"
"ME161","1002","58"
"ME181","1002","2"
"ME191","1002","15"
"ME194","1002","1"
"ME200A","1002","165"
"ME207A","1002","21"
"ME211A","1002","17"
"ME211C","1002","1"
"ME212","1002","14"
"ME217C","1002","1"
"ME218A","1002","53"
"ME218D","1002","8"
"ME230","1002","9"
"ME231A","1002","50"
"ME235A","1002","51"
"ME238A","1002","47"
"ME250","1002","13"
"ME251A","1002","49"
"ME252A","1002","15"
"ME257","1002","15"
"ME262A","1002","29"
"ME270","1002","21"
"ME281","1002","32"
"ME289","1002","35"
"ME290","1002","9"
"ME291","1002","48"
"ME292","1002","30"
"ME294","1002","38"
"ME295","1002","8"
"ME296","1002","41"
"ME297","1002","10"
"ME300","1002","8"
"ME301","1002","58"
"ME303","1002","22"
"ME308","1002","21"
"ME310A","1002","39"
"ME313","1002","63"
"ME317","1002","9"
"ME381","1002","34"
"ME384","1002","10"
"ME393","1002","7"
"ME459","1002","6"
"ME801","1002","10"
"ME802","1002","57"
"SCCM499","1002","5"
"SCCM802","1002","5"
"EESOR21","1002","7"
"EESOR111","1002","22"
"EESOR120","1002","75"
"EESOR137","1002","14"
"EESOR193","1002","81"
"EESOR208","1002","4"
"EESOR211","1002","121"
"EESOR212","1002","26"
"EESOR221","1002","94"
"EESOR237","1002","87"
"EESOR242","1002","194"
"EESOR252","1002","165"
"EESOR293","1002","20"
"EESOR314","1002","10"
"EESOR318","1002","18"
"EESOR331","1002","14"
"EESOR332","1002","15"
"EESOR346","1002","18"
"EESOR349","1002","6"
"EESOR373","1002","23"
"EESOR400","1002","12"
"EESOR405","1002","51"
"EESOR408","1002","25"
"EESOR409","1002","26"
"EESOR446","1002","1"
"EESOR454","1002","5"
"EESOR498","1002","2"
"EESOR802","1002","26"
"CS1C","1002","297"
"CS9","1002","1"
"CS99M","1002","12"
"CS99S","1002","12"
"CS105","1002","239"
"CS106A","1002","339"
"CS106B","1002","85"
"CS106X","1002","113"
"CS107","1002","151"
"CS108","1002","154"
"CS109","1002","144"
"CS121","1002","128"
"CS137","1002","27"
"CS140","1002","70"
"CS143","1002","92"
"CS145","1002","167"
"CS147","1002","215"
"CS148","1002","77"
"CS157","1002","81"
"CS161","1002","101"
"CS191","1002","6"
"CS191W","1002","2"
"CS193J","1002","125"
"CS196","1002","22"
"CS198","1002","12"
"CS199","1002","6"
"CS199P","1002","1"
"CS200","1002","14"
"CS205","1002","46"
"CS221","1002","126"
"CS225B","1002","12"
"CS226","1002","24"
"CS237A","1002","29"
"CS242","1002","149"
"CS248","1002","166"
"CS270A","1002","17"
"CS298","1002","6"
"CS300","1002","30"
"CS323","1002","20"
"CS353","1002","19"
"CS361A","1002","40"
"CS377A","1002","12"
"CS377B","1002","25"
"CS377C","1002","19"
"CS377D","1002","10"
"CS390A","1002","1"
"CS390B","1002","3"
"CS390C","1002","1"
"CS393","1002","1"
"CS395","1002","2"
"CS399","1002","40"
"CS399P","1002","12"
"CS444A","1002","9"
"CS446","1002","32"
"CS448A","1002","23"
"CS448B","1002","12"
"CS468","1002","9"
"CS499","1002","139"
"CS528","1002","54"
"CS530","1002","3"
"CS531","1002","8"
"CS545","1002","29"
"CS547","1002","54"
"CS579","1002","3"
"CS801","1002","6"
"CS802","1002","19"
"OSPMOSC10M","1002","4"
"OSPMOSC15","1002","3"
"OSPMOSC16A","1002","1"
"OSPMOSC16J","1002","1"
"OSPMOSC16L","1002","1"
"OSPMOSC16M","1002","1"
"OSPMOSC21","1002","1"
"OSPMOSC27","1002","2"
"OSPMOSC51M","1002","2"
"OSPMOSC111M","1002","3"
"OSPMOSC119X","1002","3"
"OSPMOSC120X","1002","5"
"OSPMOSC121V","1002","1"
"OSPMOSC178","1002","1"
"OSPMOSC200M","1002","1"
"OSPMOSC225V","1002","3"
"OSPMOSC226V","1002","6"
"OSPPARIS14","1002","2"
"OSPPARIS22P","1002","10"
"OSPPARIS23P","1002","12"
"OSPPARIS103A","1002","1"
"OSPPARIS105A","1002","13"
"OSPPARIS108R","1002","1"
"OSPPARIS120A","1002","1"
"OSPPARIS121Y","1002","8"
"OSPPARIS124P","1002","11"
"OSPPARIS124X","1002","15"
"OSPPARIS131A","1002","1"
"OSPPARIS131V","1002","14"
"OSPPARIS132A","1002","2"
"OSPPARIS132V","1002","4"
"OSPPARIS140A","1002","2"
"OSPPARIS141A","1002","1"
"OSPPARIS143A","1002","2"
"OSPPARIS153A","1002","1"
"OSPPARIS156A","1002","1"
"OSPPARIS158F","1002","6"
"OSPPARIS160A","1002","1"
"OSPPARIS163A","1002","7"
"OSPPARIS164A","1002","1"
"OSPPARIS164Z","1002","6"
"OSPPARIS180A","1002","1"
"OSPPARIS184B","1002","8"
"OSPPARIS186A","1002","4"
"OSPPARIS187A","1002","1"
"OSPPARIS193Z","1002","11"
"OSPPARIS199","1002","3"
"OSPPARIS203A","1002","1"
"OSPPARIS204A","1002","1"
"OSPPARIS211X","1002","17"
"OSPBER3B","1002","4"
"OSPBER22B","1002","4"
"OSPBER30","1002","12"
"OSPBER40B","1002","1"
"OSPBER46","1002","5"
"OSPBER47","1002","11"
"OSPBER59","1002","8"
"OSPBER100B","1002","5"
"OSPBER115X","1002","3"
"OSPBER117V","1002","3"
"OSPBER123","1002","4"
"OSPBER173Y","1002","2"
"OSPBER179B","1002","3"
"OSPFLOR34","1002","4"
"OSPFLOR35","1002","16"
"OSPFLOR50F","1002","2"
"OSPFLOR106V","1002","16"
"OSPFLOR108R","1002","3"
"OSPFLOR112Y","1002","35"
"OSPFLOR134F","1002","14"
"OSPFLOR158X","1002","6"
"OSPFLOR178F","1002","11"
"OSPOXFRD31","1002","8"
"OSPOXFRD33","1002","2"
"OSPOXFRD64","1002","16"
"OSPOXFRD108R","1002","6"
"OSPOXFRD114Z","1002","10"
"OSPOXFRD117W","1002","21"
"OSPOXFRD173X","1002","16"
"OSPOXFRD176Y","1002","10"
"OSPOXFRD195A","1002","1"
"OSPOXFRD195B","1002","3"
"OSPOXFRD195C","1002","3"
"OSPOXFRD195E","1002","1"
"OSPOXFRD195F","1002","3"
"OSPOXFRD195K","1002","7"
"OSPOXFRD195N","1002","2"
"OSPOXFRD195P","1002","6"
"OSPOXFRD195R","1002","3"
"OSPOXFRD195T","1002","3"
"OSPOXFRD195U","1002","1"
"OSPOXFRD195V","1002","3"
"OSPOXFRD195Z","1002","3"
"OSPOXFRD196C","1002","1"
"OSPOXFRD196D","1002","1"
"OSPOXFRD196E","1002","8"
"OSPOXFRD196F","1002","1"
"OSPOXFRD196N","1002","1"
"OSPOXFRD199","1002","2"
"SIW198A","1002","1"
"SIW198B","1002","5"
"SIW198C","1002","7"
"SIW198D","1002","2"
"SIW198E","1002","5"
"SIW198F","1002","8"
"SIW198G","1002","20"
"OSPKYOCT104A","1002","3"
"OSPKYOCT180","1002","4"
"OSPKYOCT199A","1002","1"
"OSPSANTG5","1002","30"
"OSPSANTG33","1002","12"
"OSPSANTG38","1002","2"
"OSPSANTG104X","1002","2"
"OSPSANTG106H","1002","9"
"OSPSANTG106Z","1002","7"
"OSPSANTG108R","1002","1"
"OSPSANTG111","1002","5"
"OSPSANTG120X","1002","8"
"OSPSANTG121X","1002","5"
"OSPSANTG122X","1002","1"
"OSPSANTG130X","1002","1"
"OSPSANTG164S","1002","6"
"OSPSANTG165X","1002","7"
"OSPSANTG176S","1002","11"
"OSPSANTG179S","1002","15"
"OSPSANTG199A","1002","1"
"OSPSANTG221X","1002","4"
"OSPSANTG290Z","1002","4"
"APPPHYS79Q","1002","2"
"APPPHYS222","1002","10"
"APPPHYS290","1002","16"
"APPPHYS324","1002","5"
"APPPHYS372","1002","27"
"APPPHYS383","1002","5"
"APPPHYS390","1002","29"
"APPPHYS459","1002","1"
"APPPHYS470","1002","4"
"APPPHYS473A","1002","1"
"APPPHYS483","1002","1"
"APPPHYS802","1002","22"
"ANTHSCI3","1002","92"
"ANTHSCI5","1002","26"
"ANTHSCI125B","1002","9"
"ANTHSCI133A","1002","8"
"ANTHSCI170","1002","62"
"ANTHSCI190","1002","14"
"ANTHSCI194","1002","9"
"ANTHSCI196","1002","1"
"ANTHSCI201A","1002","8"
"ANTHSCI222B","1002","1"
"ANTHSCI230","1002","6"
"ANTHSCI233A","1002","2"
"ANTHSCI243","1002","1"
"ANTHSCI271","1002","12"
"ANTHSCI290","1002","12"
"ANTHSCI290A","1002","1"
"ANTHSCI294","1002","2"
"ANTHSCI295","1002","2"
"ANTHSCI297","1002","2"
"ANTHSCI299","1002","13"
"ANTHSCI802","1002","1"
"CASA4","1002","11"
"CASA33","1002","22"
"CASA75","1002","13"
"CASA87","1002","5"
"CASA94","1002","11"
"CASA96","1002","1"
"CASA99A","1002","6"
"CASA133A","1002","33"
"CASA146","1002","1"
"CASA153C","1002","17"
"CASA166","1002","30"
"CASA175","1002","8"
"CASA199A","1002","5"
"CASA210","1002","11"
"CASA227","1002","13"
"CASA251","1002","13"
"CASA253C","1002","1"
"CASA261","1002","6"
"CASA287","1002","2"
"CASA292","1002","1"
"CASA296","1002","2"
"CASA297","1002","20"
"CASA801","1002","4"
"CASA802","1002","10"
"ARTSTUDI16","1002","10"
"ARTSTUDI17","1002","16"
"ARTSTUDI50","1002","20"
"ARTSTUDI60K","1002","59"
"ARTSTUDI70","1002","42"
"ARTSTUDI140","1002","32"
"ARTSTUDI141","1002","9"
"ARTSTUDI145","1002","12"
"ARTSTUDI147","1002","6"
"ARTSTUDI152","1002","12"
"ARTSTUDI170","1002","20"
"ARTSTUDI172","1002","9"
"ARTSTUDI173","1002","19"
"ARTSTUDI175","1002","6"
"ARTSTUDI246","1002","7"
"ARTSTUDI250","1002","2"
"ARTSTUDI260","1002","1"
"ARTSTUDI269","1002","8"
"ARTSTUDI270","1002","15"
"ARTSTUDI272","1002","6"
"ARTSTUDI310A","1002","1"
"ARTSTUDI342","1002","8"
"ARTSTUDI360A","1002","16"
"ARTSTUDI360B","1002","2"
"ARTSTUDI360C","1002","1"
"ARTSTUDI801","1002","2"
"ARTHIST1","1002","79"
"ARTHIST100A","1002","26"
"ARTHIST123A","1002","20"
"ARTHIST140","1002","92"
"ARTHIST146","1002","68"
"ARTHIST155","1002","12"
"ARTHIST157","1002","8"
"ARTHIST200A","1002","1"
"ARTHIST202","1002","4"
"ARTHIST214A","1002","8"
"ARTHIST223A","1002","1"
"ARTHIST229G","1002","7"
"ARTHIST231","1002","10"
"ARTHIST240","1002","9"
"ARTHIST246","1002","9"
"ARTHIST257","1002","5"
"ARTHIST278","1002","6"
"ARTHIST298","1002","6"
"ARTHIST299","1002","1"
"ARTHIST300","1002","4"
"ARTHIST335Q","1002","8"
"ARTHIST395","1002","6"
"ARTHIST397","1002","1"
"ARTHIST398","1002","6"
"ARTHIST399","1002","1"
"ARTHIST400","1002","3"
"ARTHIST802","1002","14"
"EASTASN199","1002","3"
"EASTASN330","1002","14"
"EASTASN801","1002","3"
"CHINGEN91","1002","34"
"CHINGEN200","1002","1"
"CHINLANG1","1002","64"
"CHINLANG1B","1002","41"
"CHINLANG6","1002","32"
"CHINLANG10","1002","9"
"CHINLANG15","1002","17"
"CHINLANG21","1002","37"
"CHINLANG21B","1002","31"
"CHINLANG27","1002","10"
"CHINLANG101","1002","8"
"CHINLANG101B","1002","14"
"CHINLANG121","1002","17"
"CHINLANG125","1002","3"
"CHINLANG131","1002","4"
"CHINLANG211","1002","5"
"CHINLANG251","1002","1"
"CHINLIT200","1002","4"
"CHINLIT201","1002","5"
"CHINLIT205","1002","2"
"CHINLIT241","1002","3"
"CHINLIT802","1002","3"
"JAPANGEN137","1002","3"
"JAPANGEN200","1002","1"
"JAPANGEN237","1002","3"
"JAPANLNG1","1002","48"
"JAPANLNG7A","1002","8"
"JAPANLNG7B","1002","31"
"JAPANLNG17A","1002","4"
"JAPANLNG17B","1002","19"
"JAPANLNG21","1002","17"
"JAPANLNG27","1002","9"
"JAPANLNG101","1002","7"
"JAPANLNG107A","1002","8"
"JAPANLNG107B","1002","8"
"JAPANLNG111","1002","2"
"JAPANLNG117A","1002","2"
"JAPANLNG117B","1002","3"
"JAPANLNG121","1002","6"
"JAPANLNG127B","1002","8"
"JAPANLNG211","1002","4"
"JAPANLIT200","1002","5"
"JAPANLIT246","1002","6"
"JAPANLIT299","1002","1"
"JAPANLIT396","1002","4"
"JAPANLIT399","1002","2"
"JAPANLIT802","1002","3"
"HUMBIO2A","1002","226"
"HUMBIO2B","1002","234"
"HUMBIO2S","1002","144"
"HUMBIO26","1002","21"
"HUMBIO33","1002","14"
"HUMBIO90Q","1002","3"
"HUMBIO91Q","1002","11"
"HUMBIO97Q","1002","13"
"HUMBIO120","1002","79"
"HUMBIO128","1002","30"
"HUMBIO155","1002","47"
"HUMBIO160","1002","169"
"HUMBIO160B","1002","5"
"HUMBIO160W","1002","11"
"HUMBIO180","1002","12"
"HUMBIO192","1002","9"
"HUMBIO193","1002","20"
"HUMBIO194","1002","1"
"HUMBIO197","1002","56"
"HUMBIO197S","1002","4"
"HUMBIO199","1002","38"
"HUMBIO200","1002","13"
"KORLANG1","1002","21"
"KORLANG21","1002","10"
"KORLANG101","1002","7"
"KORLANG200","1002","2"
"BIOSCI2","1002","16"
"BIOSCI11N","1002","16"
"BIOSCI17N","1002","16"
"BIOSCI37Q","1002","7"
"BIOSCI51","1002","254"
"BIOSCI133","1002","47"
"BIOSCI134","1002","15"
"BIOSCI142","1002","82"
"BIOSCI151","1002","16"
"BIOSCI153","1002","1"
"BIOSCI154","1002","25"
"BIOSCI198","1002","44"
"BIOSCI198R","1002","2"
"BIOSCI199","1002","45"
"BIOSCI199R","1002","29"
"BIOSCI199W","1002","8"
"BIOSCI199X","1002","28"
"BIOSCI203","1002","21"
"BIOSCI215","1002","12"
"BIOSCI218","1002","8"
"BIOSCI230","1002","82"
"BIOSCI242","1002","15"
"BIOSCI254","1002","10"
"BIOSCI283","1002","10"
"BIOSCI290","1002","13"
"BIOSCI290X","1002","4"
"BIOSCI291","1002","56"
"BIOSCI300","1002","61"
"BIOSCI300R","1002","14"
"BIOSCI300W","1002","2"
"BIOSCI300X","1002","11"
"BIOSCI301","1002","16"
"BIOSCI302","1002","9"
"BIOSCI306","1002","2"
"BIOSCI307","1002","6"
"BIOSCI346","1002","1"
"BIOSCI360","1002","3"
"BIOSCI383","1002","1"
"BIOSCI801","1002","8"
"BIOSCI802","1002","10"
"BIOSCI802R","1002","8"
"BIOHOPK199H","1002","1"
"BIOHOPK300H","1002","10"
"BIOHOPK801H","1002","2"
"BIOHOPK802H","1002","3"
"CHEM30","1002","78"
"CHEM31","1002","258"
"CHEM32","1002","67"
"CHEM35","1002","154"
"CHEM110","1002","15"
"CHEM130","1002","234"
"CHEM131","1002","142"
"CHEM132","1002","21"
"CHEM171","1002","56"
"CHEM190","1002","12"
"CHEM200","1002","128"
"CHEM221","1002","33"
"CHEM227","1002","6"
"CHEM229","1002","31"
"CHEM231","1002","17"
"CHEM233","1002","24"
"CHEM257","1002","1"
"CHEM259","1002","25"
"CHEM271","1002","67"
"CHEM277","1002","16"
"CHEM279","1002","49"
"CHEM299","1002","35"
"CHEM300","1002","102"
"CHEM301","1002","111"
"CHEM459","1002","5"
"CHEM802","1002","32"
"CLASSHIS16N","1002","9"
"CLASSHIS34","1002","4"
"CLASSHIS101","1002","15"
"CLASSART302","1002","6"
"CLASSGRK1","1002","10"
"CLASSGRK101","1002","2"
"CLASSGRK111","1002","5"
"CLASSLAT1","1002","15"
"CLASSLAT101","1002","10"
